wkt_geom,Deliveries,ANC,typeTextHealth,Type,typeText,Please_spe,ownershipText,Name,path,layer,typeTextWater,identifier,PNAME2014,typeTextSchools,typeTextProtection
Point (32.62469999999999715 0.26419999999999999),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Government,Buziga Islamic Theological Institute,,Schools,,3641,GGABA,Tertiary Educational Institutions,
Point (32.63150000000000261 0.2555),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,The crystal junior academy nursery,,Schools,,3694,GGABA,Pre-Primary Schools,
Point (32.63049999999999784 0.25619999999999998),,,,Schools,Primary Schools,Primary Schools,Private,Quality education centre primary school,,Schools,,3703,GGABA,Primary Schools,
Point (32.63179999999999836 0.25519999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,The crystal junior day and boarding school primary,,Schools,,3723,GGABA,Pre-Primary Schools,
Point (32.63219999999999743 0.27060000000000001),,,,Schools,Secondary Schools,Secondary Schools,Private,Gabba Mixed High School,,Schools,,3836,GGABA,Secondary Schools,
Point (32.63239999999999696 0.26960000000000001),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,American International School,,Schools,,3872,GGABA,Pre-Primary Schools,
Point (32.63179999999999836 0.27200000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Fatima Pre-school And Daycare Centre,,Schools,,3895,GGABA,Pre-Primary Schools,
Point (32.58670000000000044 0.39129999999999998),No,No,Neither Delivery not Antenatal Services,,,,Private,Crown care clinic ,,Kampala Health Facilities,,4425,KOMAMBOGA,,
Point (32.58570000000000277 0.34860000000000002),No,No,Neither Delivery not Antenatal Services,,,,Private,Merry heart clinic,,Kampala Health Facilities,,766,KYEBANDO,,
Point (32.57450000000000045 0.35620000000000002),No,No,Neither Delivery not Antenatal Services,,,,Private,Imm clinic,,Kampala Health Facilities,,4351,KYEBANDO,,
Point (32.58299999999999841 0.35160000000000002),No,No,Neither Delivery not Antenatal Services,,,,Private,Jazreel care clinic,,Kampala Health Facilities,,4393,KYEBANDO,,
Point (32.58070000000000022 0.35199999999999998),No,No,Neither Delivery not Antenatal Services,,,,Private,Better life clinic,,Kampala Health Facilities,,4394,KYEBANDO,,
Point (32.57990000000000208 0.35260000000000002),No,No,Neither Delivery not Antenatal Services,,,,Private,Busy bee dental clinic,,Kampala Health Facilities,,4395,KYEBANDO,,
Point (32.57739999999999725 0.35539999999999999),No,No,Neither Delivery not Antenatal Services,,,,Private,Life line medical clinic,,Kampala Health Facilities,,4396,KYEBANDO,,
Point (32.57450000000000045 0.35539999999999999),No,No,Neither Delivery not Antenatal Services,,,,Private,God's grace medical clinic,,Kampala Health Facilities,,4397,KYEBANDO,,
Point (32.58650000000000091 0.35260000000000002),No,No,Neither Delivery not Antenatal Services,,,,Private,St. Ann clinic,,Kampala Health Facilities,,4399,KYEBANDO,,
Point (32.58619999999999806 0.35239999999999999),No,No,Neither Delivery not Antenatal Services,,,,Private,Jb clinic,,Kampala Health Facilities,,4400,KYEBANDO,,
Point (32.58780000000000143 0.35249999999999998),No,No,Neither Delivery not Antenatal Services,,,,Private,Family health clinic and laboratory services,,Kampala Health Facilities,,4401,KYEBANDO,,
Point (32.58840000000000003 0.35039999999999999),No,No,Neither Delivery not Antenatal Services,,,,Private,Mazima clinic,,Kampala Health Facilities,,4402,KYEBANDO,,
Point (32.57260000000000133 0.3548),No,No,Neither Delivery not Antenatal Services,,,,Private,St Henry clinic,,Kampala Health Facilities,,4405,KYEBANDO,,
Point (32.58259999999999934 0.35680000000000001),No,No,Neither Delivery not Antenatal Services,,,,Private,Mukama Arinaitwe medical clinic,,Kampala Health Facilities,,4406,KYEBANDO,,
Point (32.60410000000000252 0.29770000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Sunflower childcare centre,,Schools,,1487,KABALAGALA,Pre-Primary Schools,
Point (32.59790000000000276 0.29470000000000002),,,,Schools,Secondary Schools,Secondary Schools,Government,Tropical High School-Kabalagala,,Schools,,1812,KABALAGALA,Secondary Schools,
Point (32.59819999999999851 0.29830000000000001),,,,,,,Government,"Mutiaba, washing bay",C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/Protected_Springs.shp,Water,Protected Springs,1866,KABALAGALA,,
Point (32.60070000000000334 0.29470000000000002),,,,,,,Government,Mukiibi,C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/Protected_Springs.shp,Water,Protected Springs,1881,KABALAGALA,,
Point (32.59949999999999903 0.29909999999999998),,,,,,,Government,Biyinja spring,C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/Protected_Springs.shp,Water,Protected Springs,1888,KABALAGALA,,
Point (32.59689999999999799 0.2994),,,,,,,Government,Kachururu,C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/Protected_Springs.shp,Water,Protected Springs,1890,KABALAGALA,,
Point (32.59779999999999944 0.29880000000000001),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Jack and jill nursery school,,Schools,,1965,KABALAGALA,Pre-Primary Schools,
Point (32.59839999999999804 0.29430000000000001),,,,Schools,Primary Schools,Primary Schools,Private,Christ The King Primary School,,Schools,,2067,KABALAGALA,Primary Schools,
Point (32.59879999999999711 0.3024),,,,Schools,Primary Schools,Primary Schools,Private,St.john baptist primary school,,Schools,,2071,KABALAGALA,Primary Schools,
Point (32.60020000000000095 0.30359999999999998),,,,Schools,Primary Schools,Primary Schools,Private,Merowa junior academy,,Schools,,2089,KABALAGALA,Primary Schools,
Point (32.59920000000000329 0.29859999999999998),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Tatiana beauty school,,Schools,,2141,KABALAGALA,Post Primary Schools,
Point (32.60159999999999769 0.29899999999999999),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Government,Jimmy sekasi catering,,Schools,,2150,KABALAGALA,Tertiary Educational Institutions,
Point (32.5981000000000023 0.2974),,,,Schools,Primary Schools,Primary Schools,Private,Pearl Africa primary school,,Schools,,2166,KABALAGALA,Primary Schools,
Point (32.5981000000000023 0.29659999999999997),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Pearl Africa nursery sch,,Schools,,2231,KABALAGALA,Post Primary Schools,
Point (32.60260000000000247 0.2999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Golden bells pre-school,,Schools,,2315,KABALAGALA,Pre-Primary Schools,
Point (32.59920000000000329 0.29599999999999999),,,,Schools,Primary Schools,Primary Schools,Private,Pearl Africa Primary School,,Schools,,2368,KABALAGALA,Primary Schools,
Point (32.59759999999999991 0.29899999999999999),,,,Schools,Primary Schools,Primary Schools,Private,Jack and jill primary school,,Schools,,2434,KABALAGALA,Primary Schools,
Point (32.59879999999999711 0.30199999999999999),,,,Schools,Secondary Schools,Secondary Schools,Private,St.janan luwum secondary school,,Schools,,2445,KABALAGALA,Secondary Schools,
Point (32.59899999999999665 0.30430000000000001),,,,Schools,Primary Schools,Primary Schools,Private,The hidden treasure primary school,,Schools,,2471,KABALAGALA,Primary Schools,
Point (32.59799999999999898 0.29470000000000002),,,,Schools,Secondary Schools,Secondary Schools,Private,Tropical High School,,Schools,,2617,KABALAGALA,Secondary Schools,
Point (32.59779999999999944 0.29820000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Pearl Africa Nursery School,,Schools,,2643,KABALAGALA,Pre-Primary Schools,
Point (32.59850000000000136 0.30399999999999999),,,,Schools,Primary Schools,Primary Schools,Private,Makindye community primary school,,Schools,,2648,KABALAGALA,Primary Schools,
Point (32.602800000000002 0.29970000000000002),,,,Schools,Secondary Schools,Secondary Schools,Private,St.mary's high school kisugu,,Schools,,2660,KABALAGALA,Secondary Schools,
Point (32.60000000000000142 0.29449999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Kabalagala Parent's Mixed Day And Boarding Nursery School,,Schools,,2968,KABALAGALA,Pre-Primary Schools,
Point (32.60130000000000194 0.29380000000000001),,,,Schools,Primary Schools,Primary Schools,Private,Kabalagala Parent's Mixed Day And Boarding Primary School,,Schools,,2981,KABALAGALA,Primary Schools,
Point (32.6004999999999967 0.29630000000000001),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Baby Jesus Nursery School,,Schools,,2983,KABALAGALA,Pre-Primary Schools,
Point (32.59729999999999706 0.30049999999999999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,The dannies Infant School,,Schools,,3066,KABALAGALA,Pre-Primary Schools,
Point (32.59680000000000177 0.30080000000000001),,,,Schools,Primary Schools,Primary Schools,Private,The Dannies Infant School Primary,,Schools,,3305,KABALAGALA,Primary Schools,
Point (32.58270000000000266 0.35599999999999998),No,No,Neither Delivery not Antenatal Services,,,,Private,Life care medical clinic,,Kampala Health Facilities,,4409,KYEBANDO,,
Point (32.57959999999999923 0.36059999999999998),No,No,Neither Delivery not Antenatal Services,,,,Private,St. Roselyn care clinic,,Kampala Health Facilities,,4410,KYEBANDO,,
Point (32.58610000000000184 0.35770000000000002),No,No,Neither Delivery not Antenatal Services,,,,Private,Od clinic,,Kampala Health Facilities,,4411,KYEBANDO,,
Point (32.5870000000000033 0.35499999999999998),No,No,Neither Delivery not Antenatal Services,,,,Private,Taant medical setvuces,,Kampala Health Facilities,,4413,KYEBANDO,,
Point (32.57379999999999853 0.35799999999999998),No,No,Neither Delivery not Antenatal Services,,,,Private,Magajo family clinic,,Kampala Health Facilities,,4414,KYEBANDO,,
Point (32.57350000000000279 0.3579),No,No,Neither Delivery not Antenatal Services,,,,Private,Emmitex clinic,,Kampala Health Facilities,,4415,KYEBANDO,,
Point (32.57390000000000185 0.35780000000000001),No,No,Neither Delivery not Antenatal Services,,,,Private,New life clinic,,Kampala Health Facilities,,4416,KYEBANDO,,
Point (32.57999999999999829 0.35270000000000001),No,No,Neither Delivery not Antenatal Services,,,,Private,Bussy bee dental clinic,,Kampala Health Facilities,,4417,KYEBANDO,,
Point (32.5741999999999976 0.36020000000000002),No,No,Neither Delivery not Antenatal Services,,,,Private,Cornerstone surgery,,Kampala Health Facilities,,4418,KYEBANDO,,
Point (32.57970000000000255 0.3528),No,No,Neither Delivery not Antenatal Services,,,,Private,Amen doctors clinic,,Kampala Health Facilities,,4419,KYEBANDO,,
Point (32.57540000000000191 0.3654),No,No,Neither Delivery not Antenatal Services,,,,Private,Makayi medical centre,,Kampala Health Facilities,,4420,KYEBANDO,,
Point (32.58160000000000167 0.35560000000000003),No,No,Neither Delivery not Antenatal Services,,,,Private,Quality clinuc and diagnostic centre,,Kampala Health Facilities,,4421,KYEBANDO,,
Point (32.5724000000000018 0.35759999999999997),No,No,Neither Delivery not Antenatal Services,,,,Private,St jude clinic,,Kampala Health Facilities,,4426,KYEBANDO,,
Point (32.57399999999999807 0.35549999999999998),No,No,Neither Delivery not Antenatal Services,,,,Private,Standard medical services,,Kampala Health Facilities,,4427,KYEBANDO,,
Point (32.57739999999999725 0.35220000000000001),No,No,Neither Delivery not Antenatal Services,,,,Private,Faith dental services,,Kampala Health Facilities,,4551,KYEBANDO,,
Point (32.5671999999999997 0.34610000000000002),No,No,Neither Delivery not Antenatal Services,,,,Private,Living field clinic,,Kampala Health Facilities,,4369,MAKERERE I,,
Point (32.5660000000000025 0.34470000000000001),No,No,Neither Delivery not Antenatal Services,,,,Private,Meta green medicare,,Kampala Health Facilities,,4377,MAKERERE I,,
Point (32.56920000000000215 0.34110000000000001),No,No,Neither Delivery not Antenatal Services,,,,Private,Kacha clinic kikumi,,Kampala Health Facilities,,4381,MAKERERE I,,
Point (32.57139999999999702 0.3422),No,No,Neither Delivery not Antenatal Services,,,,Private,Kam medical diagnotic centre,,Kampala Health Facilities,,4383,MAKERERE I,,
Point (32.57130000000000081 0.34300000000000003),No,No,Neither Delivery not Antenatal Services,,,,Private,Gayaza road mefical centre,,Kampala Health Facilities,,4384,MAKERERE I,,
Point (32.57110000000000127 0.34560000000000002),No,No,Neither Delivery not Antenatal Services,,,,Private,Mirembe clinic,,Kampala Health Facilities,,4385,MAKERERE I,,
Point (32.57000000000000028 0.34329999999999999),No,No,Neither Delivery not Antenatal Services,,,,Private,UFamily medical chambers,,Kampala Health Facilities,,4386,MAKERERE I,,
Point (32.56049999999999756 0.34420000000000001),No,No,Neither Delivery not Antenatal Services,,,,Private,Universal health care,,Kampala Health Facilities,,4374,MAKERERE II,,
Point (32.56269999999999953 0.34289999999999998),No,No,Neither Delivery not Antenatal Services,,,,Private,Prime medical clinic,,Kampala Health Facilities,,4375,MAKERERE II,,
Point (32.56269999999999953 0.33510000000000001),No,No,Neither Delivery not Antenatal Services,,,,Private,Philomena medical clinic,,Kampala Health Facilities,,4376,MAKERERE II,,
Point (32.5613000000000028 0.33200000000000002),No,No,Neither Delivery not Antenatal Services,,,,Private,Ambassador of God clinic,,Kampala Health Facilities,,4378,MAKERERE II,,
Point (32.56080000000000041 0.34260000000000002),No,No,Neither Delivery not Antenatal Services,,,,Private,God healing general clinic,,Kampala Health Facilities,,4379,MAKERERE II,,
Point (32.5636999999999972 0.33200000000000002),No,No,Neither Delivery not Antenatal Services,,,,Private,Above all madical centre,,Kampala Health Facilities,,4380,MAKERERE II,,
Point (32.60240000000000293 0.28989999999999999),,,,POLICE POST,Police Post,,Government,NABUTITI,,Police,,723,KANSANGA-MUYENGA,,Police Post
Point (32.60450000000000159 0.2974),,,,DIVISION HQTRS,Police Station,,Government,KABALAGALA,,Police,,747,KANSANGA-MUYENGA,,Police Station
Point (32.60470000000000113 0.28689999999999999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,St.joseph nursery school,,Schools,,932,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.60309999999999775 0.28649999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Otters den kindergarten,,Schools,,1093,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.60620000000000118 0.28799999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Wisdom gate pre-school and day care,,Schools,,1099,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.60730000000000217 0.28849999999999998),,,,Schools,Secondary Schools,Secondary Schools,Private,Kansanga senior secondary school,,Schools,,1119,KANSANGA-MUYENGA,Secondary Schools,
Point (32.60390000000000299 0.28649999999999998),,,,Schools,Primary Schools,Primary Schools,Private,Otters den primary school,,Schools,,1177,KANSANGA-MUYENGA,Primary Schools,
Point (32.60560000000000258 0.29299999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Kinder kare pre-school,,Schools,,1313,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.60229999999999961 0.29170000000000001),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Lorna Kindergarten,,Schools,,1344,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.60060000000000002 0.28760000000000002),,,,Schools,Secondary Schools,Secondary Schools,Private,Our Lady Seat Of  wisdom Secondary School,,Schools,,1365,KANSANGA-MUYENGA,Secondary Schools,
Point (32.60840000000000316 0.28799999999999998),,,,Schools,Primary Schools,Primary Schools,Private,St.Andrew's Primary School,,Schools,,1375,KANSANGA-MUYENGA,Primary Schools,
Point (32.6069000000000031 0.2908),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,St.Andrew's Nursery School,,Schools,,1376,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.60499999999999687 0.2898),,,,Schools,Secondary Schools,Secondary Schools,Government,Kansanga Seed Secondary School,,Schools,,1379,KANSANGA-MUYENGA,Secondary Schools,
Point (32.60560000000000258 0.29289999999999999),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Government,Regional school of languages,,Schools,,1481,KANSANGA-MUYENGA,Tertiary Educational Institutions,
Point (32.60479999999999734 0.29480000000000001),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Government,Kampala international university,,Schools,,1485,KANSANGA-MUYENGA,Tertiary Educational Institutions,
Point (32.60410000000000252 0.28860000000000002),,,,Schools,Primary Schools,Primary Schools,Government,Kansanga primary school,,Schools,,1634,KANSANGA-MUYENGA,Primary Schools,
Point (32.61269999999999669 0.29330000000000001),,,,,,,Government,Muyenga Old Tank A,C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/Water_Reservoirs.shp,Water,Water Reservoirs,1822,KANSANGA-MUYENGA,,
Point (32.61240000000000094 0.29339999999999999),,,,,,,Government,Muyenga Old Tank B,C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/Water_Reservoirs.shp,Water,Water Reservoirs,1823,KANSANGA-MUYENGA,,
Point (32.61209999999999809 0.29339999999999999),,,,,,,Government,Muyenga Old Tank E,C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/Water_Reservoirs.shp,Water,Water Reservoirs,1824,KANSANGA-MUYENGA,,
Point (32.61169999999999902 0.29349999999999998),,,,,,,Government,Muyenga New Tank C,C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/Water_Reservoirs.shp,Water,Water Reservoirs,1835,KANSANGA-MUYENGA,,
Point (32.61119999999999663 0.29360000000000003),,,,,,,Government,Muyenga New Tank D,C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/Water_Reservoirs.shp,Water,Water Reservoirs,1836,KANSANGA-MUYENGA,,
Point (32.61480000000000246 0.28670000000000001),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,LUWAFU JUNIOR KINDERGATEN SCHOOL,,Schools,,2119,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.60600000000000165 0.29959999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Mumz and dadz school kindergarten,,Schools,,2363,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.60549999999999926 0.29959999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Biotec nursery school,,Schools,,2374,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.60580000000000211 0.29959999999999998),,,,Schools,Primary Schools,Primary Schools,Private,Biotec primary school,,Schools,,2384,KANSANGA-MUYENGA,Primary Schools,
Point (32.60869999999999891 0.28720000000000001),,,,Schools,Primary Schools,Primary Schools,Private,St.Kizito Primary School,,Schools,,2501,KANSANGA-MUYENGA,Primary Schools,
