wkt_geom,Deliveries,ANC,typeTextHealth,Type,typeText,Please_spe,ownershipText,Name,path,layer,typeTextWater,identifier,PNAME2014,typeTextSchools,typeTextProtection
Point (32.56980000000000075 0.35859999999999997),Yes,No,Delivery Services,,,,Private,Gibbson clinic and lab services,,Kampala Health Facilities,,4325,BWAISE I,,
Point (32.55740000000000123 0.36099999999999999),Yes,No,Delivery Services,,,,Private,Beatrice medical services,,Kampala Health Facilities,,4298,BWAISE II,,
Point (32.5589999999999975 0.35389999999999999),Yes,No,Delivery Services,,,,Private,J b medical clinic,,Kampala Health Facilities,,4304,BWAISE II,,
Point (32.55740000000000123 0.35010000000000002),Yes,No,Delivery Services,,,,Private,Matrix clinic,,Kampala Health Facilities,,4271,BWAISE III,,
Point (32.60309999999999775 0.36859999999999998),Yes,No,Delivery Services,,,,Private,Ritath clinic,,Kampala Health Facilities,,4437,KIKAAYA,,
Point (32.57600000000000051 0.29820000000000002),Yes,No,Delivery Services,,,,Private,Ngabo clinic katwe,,Kampala Health Facilities,,230,KATWE I,,
Point (32.60060000000000002 0.31590000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Rainbow city hosppital (u) ltd,,Kampala Health Facilities,,479,INDUSTRIAL AREA,,
Point (32.56759999999999877 0.3196),,,,POLICE POST,Police Post,,Government,BUKESA POLICE POST,,Police,,709,BUKESA,,Police Post
Point (32.56430000000000291 0.32750000000000001),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Delight Salon,,Schools,,897,BUKESA,Non Formal Schools,
Point (32.56380000000000052 0.3271),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Chez Unisex Salon,,Schools,,899,BUKESA,Non Formal Schools,
Point (32.56490000000000151 0.32590000000000002),,,,Schools,Secondary Schools,Secondary Schools,Private,Bright Way Hill School,,Schools,,1327,BUKESA,Secondary Schools,
Point (32.56490000000000151 0.3246),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Multitech Business School,,Schools,,1465,BUKESA,Post Primary Schools,
Point (32.56620000000000203 0.32419999999999999),,,,Schools,Secondary Schools,Secondary Schools,Government,Kampala High School,,Schools,,1470,BUKESA,Secondary Schools,
Point (32.56499999999999773 0.32450000000000001),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,Multitech Business School,,Schools,,1476,BUKESA,Tertiary Educational Institutions,
Point (32.56239999999999668 0.32600000000000001),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Hair Care Unisex Salon,,Schools,,1555,BUKESA,Non Formal Schools,
Point (32.56770000000000209 0.32069999999999999),,,,,,,Government,Kakajjo II,C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/Protected_Springs.shp,Water,Protected Springs,1712,BUKESA,,
Point (32.5671999999999997 0.32240000000000002),,,,,,,Government,Kakajjo I,C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/Protected_Springs.shp,Water,Protected Springs,1722,BUKESA,,
Point (32.56620000000000203 0.32119999999999999),,,,Schools,Primary Schools,Primary Schools,Private,Sir Apoll Kaggwa Boarding Primary School,,Schools,,2557,BUKESA,Primary Schools,
Point (32.56609999999999872 0.32129999999999997),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Sir Apollo Kaggwa Primary School,,Schools,,2559,BUKESA,Pre-Primary Schools,
Point (32.56700000000000017 0.32100000000000001),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Makerere Day And Evening School For Adults,,Schools,,2688,BUKESA,Post Primary Schools,
Point (32.56400000000000006 0.3206),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,R.M.K Garage,,Schools,,2820,BUKESA,Non Formal Schools,
Point (32.56410000000000338 0.3216),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Bukoto M.S Auto Garage,,Schools,,2829,BUKESA,Non Formal Schools,
Point (32.56430000000000291 0.32190000000000002),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,Umcat School of Journalism,,Schools,,2846,BUKESA,Tertiary Educational Institutions,
Point (32.56869999999999976 0.32079999999999997),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Aga Khan Nursery School,,Schools,,2849,BUKESA,Pre-Primary Schools,
Point (32.56900000000000261 0.3206),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,Aga Khan University,,Schools,,3028,BUKESA,Tertiary Educational Institutions,
Point (32.56620000000000203 0.3216),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,Makland Institute Of Business And Management,,Schools,,3428,BUKESA,Tertiary Educational Institutions,
Point (32.56260000000000332 0.32469999999999999),,,,Schools,Primary Schools,Primary Schools,Private,Peace Nursery School,,Schools,,3453,BUKESA,Primary Schools,
Point (32.5630999999999986 0.32450000000000001),,,,Schools,Primary Schools,Primary Schools,Private,Peace  Primary School,,Schools,,3672,BUKESA,Primary Schools,
Point (32.56380000000000052 0.32490000000000002),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Lucky Designers,,Schools,,3706,BUKESA,Non Formal Schools,
Point (32.56400000000000006 0.32590000000000002),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Semugo Tech & Craft Ad Carpentry Workshop,,Schools,,3711,BUKESA,Non Formal Schools,
Point (32.56349999999999767 0.32579999999999998),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,His Grace Katende Garage,,Schools,,3722,BUKESA,Non Formal Schools,
Point (32.57039999999999935 0.3256),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Adventist medical centere,,Kampala Health Facilities,,430,KAGUGUBE,,
Point (32.57110000000000127 0.32650000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Good Lord medical center,,Kampala Health Facilities,,441,KAGUGUBE,,
Point (32.58859999999999957 0.34399999999999997),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Grace medical clinic ,,Kampala Health Facilities,,445,KAMWOKYA II,,
Point (32.58789999999999765 0.34660000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Citizen medical clinic,,Kampala Health Facilities,,4042,KAMWOKYA II,,
Point (32.57529999999999859 0.30570000000000003),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Mengo doctors clinic,,Kampala Health Facilities,,466,KISENYI II,,
Point (32.58899999999999864 0.33400000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Kololo hospital,,Kampala Health Facilities,,546,KOLOLO II,,
Point (32.56609999999999872 0.31090000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Biva maternity anb health clinic,,Kampala Health Facilities,,608,MENGO,,
Point (32.56609999999999872 0.31090000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Biva maternity and heath clinic,,Kampala Health Facilities,,610,MENGO,,
Point (32.56819999999999737 0.30759999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Government,Kisenyi health iv,,Kampala Health Facilities,,639,MENGO,,
Point (32.57540000000000191 0.32590000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,St. Catherine's Hospital,,Kampala Health Facilities,,447,NAKASERO II,,
Point (32.57600000000000051 0.3266),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Nakasero hospital ltd,,Kampala Health Facilities,,633,NAKASERO II,,
Point (32.58789999999999765 0.31290000000000001),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,Victory University,,Schools,,677,CIVIC CENTER,Tertiary Educational Institutions,
Point (32.5852999999999966 0.31190000000000001),,,,POLICE STATION,Police Station,,Government,NKRUMA ROAD POLICE STATION,,Police,,716,CIVIC CENTER,,Police Station
Point (32.58740000000000236 0.314),,,,POLICE POST,Police Post,,Government,MIN OF EDUCATION,,Police,,750,CIVIC CENTER,,Police Post
Point (32.57509999999999906 0.32479999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Case medical centre,,Kampala Health Facilities,,666,NAKASERO II,,
Point (32.57430000000000092 0.32340000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Norvick hospital,,Kampala Health Facilities,,420,NAKASERO III,,
Point (32.57410000000000139 0.31919999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,SAS clinic,,Kampala Health Facilities,,598,NAKASERO III,,
Point (32.58310000000000173 0.31080000000000002),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Morden Adult Education Institute,,Schools,,834,CIVIC CENTER,Post Primary Schools,
Point (32.5923000000000016 0.3175),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,test 4,,Schools,,1046,CIVIC CENTER,Pre-Primary Schools,
Point (32.58100000000000307 0.31090000000000001),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,Oracle University,,Schools,,1264,CIVIC CENTER,Tertiary Educational Institutions,
Point (32.58359999999999701 0.31130000000000002),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,R.k Printers,,Schools,,1605,CIVIC CENTER,Non Formal Schools,
Point (32.58050000000000068 0.31019999999999998),,,,,,,Government,Ganesh-Entebbe Road,C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/KCCA_Public_Toilets.shp,Water,Public Toilet,1786,CIVIC CENTER,,
Point (32.58220000000000027 0.31190000000000001),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Jj printers,,Schools,,2088,CIVIC CENTER,Non Formal Schools,
Point (32.58400000000000318 0.314),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Christ The King Nursery School,,Schools,,2143,CIVIC CENTER,Pre-Primary Schools,
Point (32.58250000000000313 0.31),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,SZ Printers And General Supplies,,Schools,,2302,CIVIC CENTER,Non Formal Schools,
Point (32.58229999999999649 0.31),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Xerox Solutions,,Schools,,2325,CIVIC CENTER,Non Formal Schools,
Point (32.58239999999999981 0.309),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Jaki Fasions,,Schools,,2369,CIVIC CENTER,Non Formal Schools,
Point (32.58229999999999649 0.31080000000000002),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Blessedness  System,,Schools,,2508,CIVIC CENTER,Post Primary Schools,
Point (32.58299999999999841 0.31090000000000001),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Nsuka Main Graphics Centre,,Schools,,2524,CIVIC CENTER,Post Primary Schools,
Point (32.584699999999998 0.31180000000000002),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Muti-Computing Training Centre,,Schools,,2758,CIVIC CENTER,Post Primary Schools,
Point (32.58449999999999847 0.31130000000000002),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,Uganda Institute Of Graphics And Technology,,Schools,,2761,CIVIC CENTER,Tertiary Educational Institutions,
Point (32.58129999999999882 0.31069999999999998),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,Aptech Computer Education,,Schools,,2775,CIVIC CENTER,Tertiary Educational Institutions,
Point (32.56810000000000116 0.31659999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Old kampala hospital,,Kampala Health Facilities,,632,OLD KAMPALA,,
Point (32.56790000000000163 0.31769999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Frontier medical centre,,Kampala Health Facilities,,665,OLD KAMPALA,,
Point (32.59700000000000131 0.31909999999999999),,,,POLICE POST,Police Post,,Government,MINISTRYOF INTERNAL AFFAIRS POLICE POST,,Police,,682,INDUSTRIAL AREA,,Police Post
Point (32.59819999999999851 0.31840000000000002),,,,POLICE POST,Police Post,,Government,MEAT PARKER POLICE POST,,Police,,743,INDUSTRIAL AREA,,Police Post
Point (32.6097999999999999 0.31559999999999999),,,,POLICE POST,Police Post,,Government,INDUSTRIAL AREA POLICE POST,,Police,,756,INDUSTRIAL AREA,,Police Post
Point (32.59420000000000073 0.31640000000000001),,,,Schools,Primary Schools,Primary Schools,Private,test 3,,Schools,,804,INDUSTRIAL AREA,Primary Schools,
Point (32.59440000000000026 0.317),,,,Schools,Primary Schools,Primary Schools,Private,Nakasero Primary School,,Schools,,918,INDUSTRIAL AREA,Primary Schools,
Point (32.60150000000000148 0.32129999999999997),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,THE MANAGEMENT AND ACCOUNTANCY TRAINING COMPANY LIMITED,,Schools,,1065,INDUSTRIAL AREA,Tertiary Educational Institutions,
Point (32.60170000000000101 0.32129999999999997),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Government,Management And Accountancy,,Schools,,1338,INDUSTRIAL AREA,Tertiary Educational Institutions,
Point (32.6022000000000034 0.3221),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,The Insurance Institute Of Uganda,,Schools,,1368,INDUSTRIAL AREA,Tertiary Educational Institutions,
Point (32.60320000000000107 0.3231),,,,Schools,Post Primary Schools,Post Primary Schools,Government,LUGOGO VOCATIONAL TRAINING INSTITUTE,,Schools,,1611,INDUSTRIAL AREA,Post Primary Schools,
Point (32.60179999999999723 0.32229999999999998),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,THE INSURANCE INSTITUTE OF UGANDA,,Schools,,1675,INDUSTRIAL AREA,Tertiary Educational Institutions,
Point (32.60269999999999868 0.3231),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Lugogo Vocational Institute,,Schools,,3855,INDUSTRIAL AREA,Non Formal Schools,
Point (32.60249999999999915 0.32350000000000001),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Government,Lugogo Vocational Institute,,Schools,,3899,INDUSTRIAL AREA,Tertiary Educational Institutions,
Point (32.56980000000000075 0.3569),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Genesis health care,,Kampala Health Facilities,,4310,BWAISE I,,
Point (32.5688999999999993 0.35599999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,St joseph mrdical and diagnostic unit,,Kampala Health Facilities,,4312,BWAISE I,,
Point (32.56400000000000006 0.35639999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,St.kiZito bwayiise clinic,,Kampala Health Facilities,,4318,BWAISE I,,
Point (32.56860000000000355 0.35449999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Cure day medical and diagnostic,,Kampala Health Facilities,,4330,BWAISE I,,
Point (32.56730000000000302 0.35570000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Nyamayalwo medical centre,,Kampala Health Facilities,,4333,BWAISE I,,
Point (32.56049999999999756 0.35289999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Vyne medical centre ,,Kampala Health Facilities,,4302,BWAISE II,,
Point (32.56099999999999994 0.35339999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Mariam domiciliary clinic,,Kampala Health Facilities,,4303,BWAISE II,,
Point (32.57019999999999982 0.32350000000000001),,,,POLICE POST,Police Post,,Government,KAGUGUBE POLICE POST,,Police,,733,KAGUGUBE,,Police Post
Point (32.56969999999999743 0.32800000000000001),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,N4 Beauty Parlour,,Schools,,823,KAGUGUBE,Non Formal Schools,
Point (32.56580000000000297 0.32740000000000002),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Glad Tiding Bible College,,Schools,,1057,KAGUGUBE,Post Primary Schools,
Point (32.57099999999999795 0.32850000000000001),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Sparkles Institute Of Hair and Beauty,,Schools,,1215,KAGUGUBE,Post Primary Schools,
Point (32.57019999999999982 0.32600000000000001),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,Kampala Evangelical School Of Theology,,Schools,,1216,KAGUGUBE,Tertiary Educational Institutions,
Point (32.56989999999999696 0.3276),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Glory Kindergarten Makerere,,Schools,,1289,KAGUGUBE,Pre-Primary Schools,
Point (32.56649999999999778 0.3276),,,,Schools,Secondary Schools,Secondary Schools,Private,Makerere Highway College,,Schools,,1454,KAGUGUBE,Secondary Schools,
Point (32.56960000000000122 0.32650000000000001),,,,Schools,Secondary Schools,Secondary Schools,Private,Ahmadiyya Muslim High School,,Schools,,1491,KAGUGUBE,Secondary Schools,
Point (32.56770000000000209 0.32769999999999999),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Ken Garage,,Schools,,1535,KAGUGUBE,Non Formal Schools,
Point (32.56609999999999872 0.3276),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,Glad Tinding Bible College,,Schools,,1652,KAGUGUBE,Tertiary Educational Institutions,
Point (32.56790000000000163 0.32390000000000002),,,,,,,Government,Kitamanyangaamba,C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/Protected_Springs.shp,Water,Protected Springs,1713,KAGUGUBE,,
Point (32.57099999999999795 0.32850000000000001),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,Greenbridge School of Open Technologies,,Schools,,1986,KAGUGUBE,Tertiary Educational Institutions,
Point (32.57159999999999656 0.32840000000000003),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Meritorious BizTech College,,Schools,,1997,KAGUGUBE,Post Primary Schools,
Point (32.56989999999999696 0.32650000000000001),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Sunshine Kindergarten,,Schools,,2008,KAGUGUBE,Pre-Primary Schools,
Point (32.56909999999999883 0.32779999999999998),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Central Auto Garage,,Schools,,2350,KAGUGUBE,Non Formal Schools,
Point (32.5688999999999993 0.32750000000000001),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Ada Motors Limited,,Schools,,2353,KAGUGUBE,Non Formal Schools,
Point (32.56880000000000308 0.32769999999999999),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Casbrus Garage,,Schools,,2362,KAGUGUBE,Non Formal Schools,
Point (32.56920000000000215 0.32779999999999998),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Kawere's Auto WorkShop,,Schools,,2372,KAGUGUBE,Non Formal Schools,
Point (32.56860000000000355 0.32779999999999998),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Kyeyune Motors Limited,,Schools,,2379,KAGUGUBE,Non Formal Schools,
Point (32.56759999999999877 0.3276),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Mutebbe's Garage,,Schools,,2387,KAGUGUBE,Non Formal Schools,
Point (32.57110000000000127 0.32300000000000001),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Impro Designers,,Schools,,2881,KAGUGUBE,Non Formal Schools,
Point (32.56750000000000256 0.32540000000000002),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Margie Unisex Saloon,,Schools,,2898,KAGUGUBE,Non Formal Schools,
Point (32.57050000000000267 0.32319999999999999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,New Friendly Nursery School,,Schools,,2906,KAGUGUBE,Pre-Primary Schools,
Point (32.57050000000000267 0.32350000000000001),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,M.k Auto Garage,,Schools,,3060,KAGUGUBE,Non Formal Schools,
Point (32.57130000000000081 0.32350000000000001),,,,Schools,Primary Schools,Primary Schools,Private,Grace Fellowship Primary School,,Schools,,3075,KAGUGUBE,Primary Schools,
Point (32.57119999999999749 0.3236),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Gracefellowship Nursery School,,Schools,,3092,KAGUGUBE,Pre-Primary Schools,
Point (32.57289999999999708 0.32600000000000001),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,Datamine Technical Business School,,Schools,,3099,KAGUGUBE,Tertiary Educational Institutions,
Point (32.5700999999999965 0.32400000000000001),,,,Schools,Secondary Schools,Secondary Schools,Private,Kampala Students Center School,,Schools,,3188,KAGUGUBE,Secondary Schools,
Point (32.57079999999999842 0.32419999999999999),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Zion Beauty Salon,,Schools,,3201,KAGUGUBE,Non Formal Schools,
Point (32.57050000000000267 0.3231),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Bag Organisation Carpentry And Joinery,,Schools,,3215,KAGUGUBE,Non Formal Schools,
Point (32.57050000000000267 0.32379999999999998),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Mukisa Garage,,Schools,,3221,KAGUGUBE,Non Formal Schools,
Point (32.57000000000000028 0.32319999999999999),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Mountain Garage,,Schools,,3227,KAGUGUBE,Non Formal Schools,
Point (32.57110000000000127 0.3261),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Makerere Industrial Area Garage,,Schools,,3256,KAGUGUBE,Non Formal Schools,
Point (32.57079999999999842 0.32729999999999998),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Ssegi Autos Garage,,Schools,,3265,KAGUGUBE,Non Formal Schools,
Point (32.56880000000000308 0.32500000000000001),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Government,Law Development Centre,,Schools,,3352,KAGUGUBE,Tertiary Educational Institutions,
Point (32.56980000000000075 0.3231),,,,Schools,Primary Schools,Primary Schools,Private,Children Corner Junior School,,Schools,,3417,KAGUGUBE,Primary Schools,
Point (32.57019999999999982 0.32569999999999999),,,,Schools,Secondary Schools,Secondary Schools,Private,Bugema Adventist Secondary School,,Schools,,3422,KAGUGUBE,Secondary Schools,
Point (32.56969999999999743 0.32319999999999999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Childrens Corner Junior School,,Schools,,3424,KAGUGUBE,Pre-Primary Schools,
Point (32.56770000000000209 0.3236),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Bright Junior Nusery,,Schools,,3712,KAGUGUBE,Pre-Primary Schools,
Point (32.56869999999999976 0.32329999999999998),,,,Schools,Primary Schools,Primary Schools,Private,Bright Junior School,,Schools,,3718,KAGUGUBE,Primary Schools,
Point (32.56040000000000134 0.35360000000000003),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Bwaise healt clinic and maternity home,,Kampala Health Facilities,,4306,BWAISE II,,
Point (32.56080000000000041 0.35120000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Mariam medical clinic,,Kampala Health Facilities,,4274,BWAISE III,,
Point (32.5625 0.35120000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Stex health care ,,Kampala Health Facilities,,4275,BWAISE III,,
Point (32.56040000000000134 0.35249999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Family hope medical centre,,Kampala Health Facilities,,4281,BWAISE III,,
Point (32.5771000000000015 0.37559999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,St kizito maternity centre,,Kampala Health Facilities,,4254,KANYANYA,,
Point (32.57639999999999958 0.372),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Mediscopy clinic,,Kampala Health Facilities,,4266,KANYANYA,,
Point (32.57620000000000005 0.37569999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Desire clinic,,Kampala Health Facilities,,4268,KANYANYA,,
Point (32.57690000000000197 0.37540000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,M M clinic,,Kampala Health Facilities,,4269,KANYANYA,,
Point (32.56569999999999965 0.36380000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Kawempe mbogo health centre,,Kampala Health Facilities,,4239,KAWEMPE I,,
Point (32.5660000000000025 0.36299999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Sure medi care,,Kampala Health Facilities,,4240,KAWEMPE I,,
Point (32.56609999999999872 0.36780000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Horizon medicsl charmber,,Kampala Health Facilities,,4243,KAWEMPE I,,
Point (32.56989999999999696 0.36780000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Akugoba domecillian,,Kampala Health Facilities,,4244,KAWEMPE I,,
Point (32.56119999999999948 0.3649),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Medik hospital,,Kampala Health Facilities,,4246,KAWEMPE I,,
Point (32.56060000000000088 0.36470000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Kawempe domicilliary clinic,,Kampala Health Facilities,,4247,KAWEMPE I,,
Point (32.55850000000000222 0.37019999999999997),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Royal health care,,Kampala Health Facilities,,4248,KAWEMPE I,,
Point (32.55749999999999744 0.37940000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Jorum medical centre,,Kampala Health Facilities,,4249,KAWEMPE I,,
Point (32.59530000000000172 0.34300000000000003),,,,POLICE STATION,Police Station,,Government,KIRA ROAD POLICE STATION,,Police,,712,KAMWOKYA I,,Police Station
Point (32.56329999999999814 0.37480000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Kyadondo medical centre,,Kampala Health Facilities,,4252,KAWEMPE I,,
Point (32.56450000000000244 0.378),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,The olive medical mission,,Kampala Health Facilities,,4253,KAWEMPE I,,
Point (32.59470000000000312 0.34370000000000001),,,,,,,Government,Kiira Rd Police Station,C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/KCCA_Public_Toilets.shp,Water,Public Toilet,1795,KAMWOKYA I,,
Point (32.59020000000000294 0.3427),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Prestige Driving School,,Schools,,1922,KAMWOKYA I,Non Formal Schools,
Point (32.58970000000000056 0.3422),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,It Computer literacy Academy,,Schools,,3080,KAMWOKYA I,Tertiary Educational Institutions,
Point (32.56199999999999761 0.36230000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Government,Kawempe mulago,,Kampala Health Facilities,,4261,KAWEMPE I,,
Point (32.55709999999999837 0.38119999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Quraish medical center ,,Kampala Health Facilities,,4208,KAWEMPE II,,
Point (32.55709999999999837 0.38129999999999997),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Bajja-Basaaga,,Kampala Health Facilities,,4209,KAWEMPE II,,
Point (32.57659999999999911 0.38190000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Bulamu Bwebugaga medical  clinic ,,Kampala Health Facilities,,4215,KAWEMPE II,,
Point (32.57580000000000098 0.3871),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Mulit care medical clinic ,,Kampala Health Facilities,,4217,KAWEMPE II,,
Point (32.55949999999999989 0.38319999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Kiganda Maternity clinic,,Kampala Health Facilities,,4222,KAWEMPE II,,
Point (32.56479999999999819 0.38200000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Ttula clinic,,Kampala Health Facilities,,4223,KAWEMPE II,,
Point (32.57659999999999911 0.38069999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Mpererwe stage healty centre,,Kampala Health Facilities,,4353,KAWEMPE II,,
Point (32.55709999999999837 0.37959999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Mercy medical center ,,Kampala Health Facilities,,4211,KAZO,,
